item,name,groupitem,group,district,constituency,gender,dob,dobPrecision,source,psid
Q109281772,Davit Danielyan,,,,,,,,http://www.parliament.am/deputies.php?lang=eng,Q109281772-C13E25A3-4FA8-484E-AB8A-96F9C080D5A4
Q109281780,Arusyak Manavazyan,,,,,,,,http://www.parliament.am/deputies.php?lang=eng,Q109281780-DC4E33E0-E93A-48BE-B276-879FDCC227DC
Q109281796,Artur Sargsyan,,,,,,,,http://www.parliament.am/deputies.php?lang=eng,Q109281796-CC3C02CE-BBE6-48CF-BC7A-1D76A3FF9423
Q109281811,Armen Charchyan,,,,,,,,http://www.parliament.am/deputies.php?lang=eng,Q109281811-1873B47E-EC41-4E39-8E5B-8AD6FF18FF02
Q109281822,Aregnaz Manukyan,,,,,,,,http://www.parliament.am/deputies.php?lang=eng,Q109281822-2844575C-7774-41E3-8ADA-80075136FE73
Q109281837,Anna Mkrtchyan,,,,,female,,,http://www.parliament.am/deputies.php?lang=eng,Q109281837-8408C597-3050-4DBA-9902-374EACAF9791
Q109281850,Alkhas Ghazaryan,,,,,,,,http://www.parliament.am/deputies.php?lang=eng,Q109281850-5F708EBA-73DE-44F5-85A1-C37D992C8538
Q109281857,Alen Simonyan,,,,,,,,http://www.parliament.am/deputies.php?lang=eng,Q109281857-3D844433-D75B-4D2F-BABB-A54AD229B67C
Q109512969,Aspram Krpeyan,,,,,,,,http://www.parliament.am/deputies.php?lang=eng,Q109512969-bd6b326d-4af0-cc8a-c7ca-833de7f704aa
Q109544339,Mikayel Tumasyan,,,,,,1980-01-18,11,,Q109544339-aca2b537-4a1c-2d4e-fdc2-bb529ba163d3
Q110553434,Lilit Kirakosyan,Q17305307,Civil Contract,,,,,,,Q110553434-247FD52E-65BB-4F82-BC81-CC7F6A0D33AF
Q110553539,Edgar Hakobyan,Q17305307,Civil Contract,,,,,,,Q110553539-EFA1C298-3A33-4653-A480-4F33D077A7F5
Q20511355,Artur Hovhannisyan,,,,,male,1984-07-08,11,http://www.parliament.am/deputies.php?lang=eng,Q20511355-C41E39DA-F9F5-46C8-AD3C-05D52819F3AE
Q21438195,Sergey Bagratyan,,,,,male,1963-01-03,11,http://www.parliament.am/deputies.php?lang=eng,Q21438195-D0C63B60-F9B0-42F8-8266-0A614F3BB1F5
Q2634821,Seyran Ohanyan,,,,,male,1962-07-01,11,,Q2634821-2E8E4335-A1D1-4967-8E41-C6D7D3185738
Q27791759,Vahe Hakobyan,,,,,male,1971-06-12,11,http://www.parliament.am/deputies.php?lang=eng,Q27791759-B2506E79-C744-4C64-BABF-6364CF35BB45
Q30131111,Knyaz Hasanov,,,,,male,1945-01-17,11,,Q30131111-8DDC2FC7-E5D1-44E6-A473-E02961A49E05
Q30195988,Lena Nazaryan,,,,,female,1983-03-09,11,,Q30195988-B0426B9D-8D71-4A7C-AE2F-95CDFEB58B22
Q31196619,Armenuhi Kyureghyan,,,,,female,1963-08-26,11,http://www.parliament.am/deputies.php?lang=eng,Q31196619-7C92A5D1-A2E6-4F07-B60E-1114A44EB462
Q3515771,Taron Margaryan,,,,,male,1978-04-17,11,,Q3515771-AE219C9E-86AE-4330-A642-072D1C6EA88C
Q4056537,Eduard Aghajanyan,,,,,male,1952-10-28,11,http://www.parliament.am/deputies.php?lang=eng,Q4056537-CA3B7D70-0C5C-45D1-B50A-9A18E3019A3F
Q4070059,Gurgen Arsenyan,,,,,male,1959-11-22,11,http://www.parliament.am/deputies.php?lang=eng,Q4070059-B44D6A94-7994-4D66-8F49-25275388A0FB
Q4103707,Aghvan Vardanyan,,,,,male,1958-10-07,11,,Q4103707-CA185B41-D2A3-4C63-AA8D-0841CD89F294
Q4132813,Lilit Galstyan,,,,,female,1962-11-28,11,,Q4132813-49A91A78-E624-4361-8377-E2AF0475558E
Q4134664,Armen Gevorgyan,,,,,male,1973-07-08,11,,Q4134664-F2A103A9-A2F6-46B7-A039-2565BA9350BE
Q4184637,Ishkhan Zakaryan,,,,,male,1961-10-21,11,,Q4184637-4683D4E1-64B4-4DA3-8CF5-DBF0E006829E
Q4294018,Artsvik Minasyan,,,,,male,1972-01-01,11,,Q4294018-0089BAAE-8C53-4DC1-956B-34D9B4C4260F
Q4401104,Armen Rustamyan,,,,,male,1960-03-01,11,,Q4401104-BF3DEC4A-4F97-4641-8DD0-A12E8CD94C27
Q4461260,Shirak Torosyan,,,,,male,1972-04-16,11,,Q4461260-A09E70FA-81E7-4DFE-8423-09FB9CEF16CF
Q4496714,Vigen Khachatryan,,,,,male,1951-07-07,11,http://www.parliament.am/deputies.php?lang=eng,Q4496714-44B306D5-4936-4D24-B0DE-4024F43CB28C
Q47525633,Zaruhi Batoyan,,,,,female,1979-09-29,11,http://www.parliament.am/deputies.php?lang=eng,Q47525633-654FCDEF-7BE4-419B-8D43-3803BA820FE1
Q49475735,Hayk Konjoryan,,,,,male,1987-01-01,9,,Q49475735-952BB4C4-76FF-4129-BB66-6573CEBC600B
Q53226857,Artur Vanetsyan,,,,,male,1979-12-08,11,http://www.parliament.am/deputies.php?lang=eng,Q53226857-C4EE8F54-3933-46E2-B07A-4D43D3381435
Q53328746,Arsen Torosyan,,,,,male,1982-06-21,11,http://www.parliament.am/deputies.php?lang=eng,Q53328746-91032F79-E5F7-4B7B-88CF-4F3421FD8265
Q53563342,Artur Khachatryan,,,,,male,1972-07-17,11,,Q53563342-0E05C09F-33DC-4F8F-992C-CED24E622839
Q54861572,Vahe Ghalumyan,,,,,male,1975-07-21,11,,Q54861572-36191fed-4235-67a6-a30b-bea744b31a76
Q54934554,Gegham Manukyan,,,,,male,1970-02-09,11,http://www.parliament.am/deputies.php?lang=eng,Q54934554-7183C5AE-5245-4984-B297-3CB063C62E87
Q54988246,Ishkhan Saghatelyan,,,,,male,1982-05-06,11,http://www.parliament.am/deputies.php?lang=eng,Q54988246-54B53B51-5017-4BFE-8142-F60286560194
Q55104089,Ashot Simonyan,,,,,male,1980-11-07,11,,Q55104089-723E68C5-B4C7-4222-82C7-A3265C3B9788
Q56027491,Karen Hambardzumyan,,,,,male,1982-11-16,11,,Q56027491-7B24AD04-D93F-4E72-960F-5099E011D817
Q56880432,Hakob Arshakyan,,,,,male,1985-04-16,11,http://www.parliament.am/deputies.php?lang=eng,Q56880432-614E5201-F95D-4A9F-A945-0E92DED179F3
Q58806349,Lusine Badalyan,,,,,female,1980-02-02,11,http://www.parliament.am/deputies.php?lang=eng,Q58806349-F5AC8465-5534-43E8-9480-DB5A63195558
Q59103045,Ruben Rubinyan,,,,,male,1990-03-08,11,,Q59103045-06D2C176-E421-4A6C-A2CF-1D175DCE5662
Q59351515,Hovik Aghazaryan,,,,,male,1960-02-09,11,,Q59351515-0924D84E-8B90-4144-8976-58CB3FF501A7
Q60421069,Aren Mkrtchyan,,,,,male,1992-04-02,11,,Q60421069-667F8039-9C6D-41CC-984F-F2DBB422EF8F
Q60421274,Arpine Davoyan,,,,,female,1985-08-28,11,,Q60421274-08AF136C-8D63-42F2-9715-6CFAA8AD295E
Q60435455,Vahagn Hovakimyan,,,,,male,1974-06-30,11,,Q60435455-DF0C515A-E3A1-4730-89E1-4EBB5F2EEC3C
Q60436143,Hrachya Hakobyan,,,,,male,1980-07-15,11,,Q60436143-4DF2ECAF-F580-47A7-AE51-8469A30C0D47
Q60513424,Trdat Sargsyan,,,,,male,1989-01-19,11,http://www.parliament.am/deputies.php?lang=eng,Q60513424-38E2D23F-936A-4A6E-8FFF-FBE1728E8B1F
Q60665863,Aleksey Sandikov,,,,,male,1983-07-23,11,http://www.parliament.am/deputies.php?lang=eng,Q60665863-53146559-6541-4F66-9367-A265C11A31C2
Q60666279,Rustam Bakoyan,,,,,male,1986-02-06,11,,Q60666279-55A17D51-93F3-42DF-9508-A245E55CD95F
Q61105798,Babken Tunyan,,,,,male,1980-09-06,11,,Q61105798-5480408D-D33C-4B87-8674-14E357A4F7BC
Q61105804,Andranik Kocharyan,,,,,male,1961-05-03,11,http://www.parliament.am/deputies.php?lang=eng,Q61105804-16DA3290-EA3C-4F82-8804-FCDC2B645CB3
Q61590701,Taguhi Ghazaryan,,,,,female,1991-03-16,11,,Q61590701-3B9EF231-F9B1-459C-BCEF-85B044413067
Q61754920,Matevos Asatryan,,,,,male,1985-12-02,11,,Q61754920-FF44C655-4A9E-4447-A79B-E950F35C6809
Q61774810,Meri Galstyan,,,,,female,1988-07-19,11,,Q61774810-AC2D4B86-D4B7-444D-8A29-CD4709C18193
Q63215671,Tsovinar Vardanyan,,,,,female,1980-09-09,11,,Q63215671-3E489E87-71D4-4C35-A0D9-85B81CDF288C
Q63242143,Armen Khachatryan,,,,,male,1973-12-04,11,,Q63242143-FEFD4F44-446E-4A4E-9689-2A75871ACDDB
Q63246520,Arman Yeghoyan,,,,,male,1984-06-28,11,,Q63246520-CE47DB92-A8E8-4CDF-9ED4-33EF75793F40
Q63433373,Gevorg Papoyan,,,,,male,1987-02-11,11,,Q63433373-23B72B39-BA2B-4C71-B608-BCDB5BB329A0
Q63538306,Anush Begloian,,,,,female,1969-07-31,11,http://www.parliament.am/deputies.php?lang=eng,Q63538306-91218D9E-67F2-4E4C-8DE8-208221FC1538
Q63568489,Arusyak Julhakyan,,,,,female,1983-01-21,11,http://www.parliament.am/deputies.php?lang=eng,Q63568489-B4DE8DFB-5DE4-45B0-8322-3FBC36AF454F
Q63762700,Sargis Khandanyan,,,,,male,1990-06-24,11,,Q63762700-A6837740-CD39-4235-8965-2B49085C9730
Q63892216,Vagharshak Hakobyan,,,,,male,1991-01-01,11,,Q63892216-EAF859DF-E80C-4A05-96E3-88107B245609
Q64691639,Tatevik Gasparyan,,,,,female,1983-05-10,11,,Q64691639-B41C9C37-A479-4BAE-8941-09F80DCC5644
Q64846084,Artur Davtyan,,,,,male,1975-06-08,11,,Q64846084-021D769E-F7FB-4711-B13C-9FACA7590BFF
Q64846090,Hayk Sargsyan,,,,,male,1992-08-09,11,,Q64846090-EB3BC6B0-9DBD-448B-9FF2-6849B0F19D68
Q64846115,Narek Zeynalyan,,,,,male,1979-04-18,11,,Q64846115-53C7377F-0B97-4C5A-AFC2-1DA0F98A6A5E
Q64846123,Taguhi Tovmasyan,,,,,female,1982-01-01,9,,Q64846123-0E4847E1-7C50-4F83-AAC1-AB1D973FF67F
Q64846124,Lilit Stepanyan,,,,,female,1981-03-24,11,,Q64846124-DED5BDBC-FEDC-4586-8D06-480E4BF389F1
Q64846128,Hripsime Grigoryan,,,,,female,1988-09-18,11,,Q64846128-7069C3D8-CF65-4FD3-B60F-956B6F27C7F8
Q64846131,Maria Karapetyan,,,,,female,1988-02-20,11,,Q64846131-80C45FEE-14A8-41D9-AF83-A6D324F6587C
Q64846150,Sisak Gabrielyan,,,,,male,1988-09-19,11,,Q64846150-28B8481F-9AFB-430A-BE25-59D02B3FB189
Q64846153,Sona Ghazaryan,,,,,female,1993-03-30,11,http://www.parliament.am/deputies.php?lang=eng,Q64846153-1CAC3CBD-2B03-4F68-A22C-ED1520829D2A
Q64846168,Kristine Poghosyan,,,,,female,1982-09-27,11,,Q64846168-6BDFCF69-6CC5-4F82-B0DD-D6FDC189B6B5
Q65665479,Vladimir Vardanyan,,,,,male,1979-08-26,11,,Q65665479-2B35C5DB-781B-40A6-A490-3A07F4C19DE8
Q6715547,Khachatur Sukiasyan,,,,,male,1961-09-15,11,http://www.parliament.am/deputies.php?lang=eng,Q6715547-A9B5F3F3-9518-4A8A-BD62-761A1EAA807B
Q86325690,Artur Ghazinyan,,,,,,1979-11-10,11,http://www.parliament.am/deputies.php?lang=eng,Q86325690-07FEA80D-AC13-439F-9046-BFA4F582F3B4
Q99815280,Heriknaz Tigranyan,,,,,female,1972-02-25,11,,Q99815280-4F83F94A-172E-46C9-A737-2FF87AA44DDF
